Time,sGPU_0_Memory_Usage(MB),sGPU_1_Memory_Usage(MB),sGPU_2_Memory_Usage(MB),sGPU_3_Memory_Usage(MB),sGPU_4_Memory_Usage(MB),sGPU_5_Memory_Usage(MB),sGPU_6_Memory_Usage(MB)
0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01
0.11,4.43,6.34,4.70,5.39,4.13,3.77,4.26
0.21,8.76,11.55,7.71,10.49,7.91,7.49,8.70
0.31,12.28,15.88,11.29,15.41,11.06,11.26,12.55
0.41,17.37,22.19,15.80,20.46,13.49,14.04,15.60
0.51,21.53,28.83,17.36,24.89,18.31,18.35,19.01
0.62,28.14,34.59,22.59,29.37,20.19,21.80,28.33
0.72,31.07,41.75,25.74,35.92,25.51,26.29,31.78
0.82,33.09,44.11,29.81,40.22,27.51,24.82,35.02
0.92,38.93,52.77,32.93,44.06,33.67,33.25,38.15
1.02,40.49,55.17,36.86,48.05,38.41,36.90,40.96
1.12,51.05,62.73,37.47,50.84,39.56,43.00,50.93
1.22,54.10,69.09,38.09,56.44,43.04,42.35,53.69
1.33,59.00,70.84,42.46,55.14,51.95,44.49,56.19
1.43,63.62,75.91,46.76,64.01,48.33,47.38,63.81
1.53,64.93,88.86,54.71,72.61,54.95,56.51,70.04
1.63,72.21,88.96,54.54,76.97,58.29,60.88,76.02
1.73,82.52,91.70,56.69,74.55,61.31,60.11,78.50
1.83,77.93,90.48,66.40,85.48,64.84,66.71,87.76
1.93,90.68,94.25,63.97,92.42,68.47,65.53,91.10
2.03,95.23,106.67,63.66,89.40,75.93,77.32,99.98
2.13,104.26,110.98,65.95,94.29,80.66,82.79,99.90
2.23,104.89,118.54,73.46,99.76,84.07,93.28,107.33
2.33,102.59,115.90,79.92,113.38,89.83,93.41,104.79
2.43,115.32,119.13,78.52,108.74,94.01,93.44,115.00
2.53,113.82,133.69,75.59,111.07,92.27,107.47,120.20
2.63,123.34,123.66,86.35,115.31,111.42,110.34,122.36
2.73,126.70,139.85,85.57,124.74,103.35,107.56,123.31
2.83,127.92,139.84,83.16,137.68,108.56,111.13,134.93
2.93,143.26,140.48,90.13,126.06,117.47,125.71,143.10
3.03,138.12,144.96,82.10,140.04,116.83,131.88,140.94
3.13,141.63,162.42,90.29,148.60,121.41,126.19,144.74
3.23,150.77,162.99,96.37,158.12,129.75,136.47,140.76
3.34,156.26,170.88,93.99,145.37,146.55,140.42,155.42
3.44,149.02,168.73,103.05,147.03,133.96,145.42,157.72
3.54,159.93,173.89,97.50,161.93,132.03,145.81,166.10
3.64,158.49,166.07,106.00,182.89,148.11,152.92,159.86
3.74,168.42,175.71,117.22,161.19,142.39,163.59,171.68
3.84,159.96,176.71,107.74,182.65,139.96,168.14,169.43
3.94,182.82,180.47,108.15,180.22,169.77,160.63,210.57
4.04,195.12,193.58,121.26,205.20,187.45,175.84,179.01
4.14,176.27,192.11,132.40,189.19,173.12,178.39,185.09
4.24,160.35,197.68,110.80,202.08,174.63,193.83,167.75
4.34,165.01,186.61,120.03,218.55,176.03,178.94,182.49
4.44,174.78,210.54,139.36,203.38,184.03,207.13,199.93
4.54,208.98,213.38,130.06,230.33,189.17,189.01,188.45
4.65,197.65,212.06,133.33,217.25,207.48,196.11,208.00
4.75,194.01,219.55,132.07,240.45,218.74,221.56,208.25
4.85,209.09,223.23,140.16,243.88,220.14,225.04,207.08
4.95,187.61,213.68,143.35,244.56,231.66,203.94,206.00
5.05,225.53,224.30,143.58,245.07,234.14,217.16,210.87
5.15,225.33,238.91,157.76,251.61,243.35,223.14,224.38
5.25,205.06,230.47,160.68,270.63,232.65,214.74,211.92
5.35,233.70,246.11,149.96,270.82,256.25,227.81,209.97
5.45,196.77,239.58,171.93,256.28,244.37,247.17,210.87
5.55,207.28,240.23,176.60,278.41,252.85,226.88,232.20
5.65,239.16,248.79,175.61,270.84,279.77,249.02,223.73
5.75,225.17,259.55,187.58,296.16,249.52,234.95,247.42
5.85,223.13,254.43,184.96,310.69,264.94,243.64,221.68
5.95,243.75,249.68,183.44,272.72,285.04,234.29,245.21
6.05,240.12,276.70,194.89,329.27,271.76,245.32,232.59
6.15,219.00,277.42,188.43,308.00,274.21,259.74,235.89
6.26,225.98,255.69,198.55,333.10,273.30,249.31,250.14
6.36,246.79,289.78,222.26,344.02,302.51,268.23,244.68
6.46,227.18,288.06,212.54,355.66,283.87,260.72,235.19
6.57,235.20,302.68,210.72,351.93,314.36,254.23,255.83
6.68,269.55,314.86,216.10,360.39,294.69,270.29,257.69
6.78,229.98,322.49,228.73,337.57,302.77,260.38,291.34
6.88,219.97,305.65,241.85,369.94,300.91,263.82,249.77
6.98,252.75,317.41,247.66,406.59,314.58,267.76,243.50
7.08,235.96,308.24,234.28,396.67,323.76,269.43,247.71
7.18,270.48,325.73,241.10,405.17,337.23,250.33,278.40
7.29,249.83,343.78,278.57,387.52,319.50,286.52,277.39
7.39,287.19,325.74,275.25,393.04,322.66,247.71,287.27
7.49,267.63,341.08,253.09,435.80,323.76,266.63,260.44
7.60,304.29,339.06,273.63,404.57,319.86,273.14,274.18
7.70,283.88,354.78,292.72,413.26,348.29,316.10,280.92
7.80,291.72,361.51,269.91,413.84,321.93,277.16,292.41
7.90,313.77,357.73,298.13,458.10,312.90,284.60,307.46
8.00,302.52,374.99,274.00,411.29,297.18,327.25,279.52
8.10,296.60,377.08,288.21,446.53,345.19,299.69,274.83
8.21,280.59,381.64,293.47,429.08,329.53,277.61,313.62
8.31,282.22,397.42,323.32,444.43,351.83,304.88,302.26
8.41,300.09,412.54,315.16,447.25,330.58,295.46,305.00
8.51,294.60,425.33,325.36,472.57,379.85,296.27,324.41
8.62,302.63,447.81,329.05,490.66,386.09,300.78,326.66
8.73,345.16,422.59,372.97,429.01,360.99,281.34,311.45
8.83,334.46,426.33,311.49,499.38,337.34,294.70,321.80
8.93,338.60,454.97,350.89,479.01,361.81,324.34,317.89
9.03,369.57,453.75,344.22,469.79,375.28,316.49,331.39
